gru_risk,rl_risk,academic_issue,days_since_last_login,alerts_sent,alerts_responded,engagement_score
LOW,LOW,0,1,1,0,3.066
LOW,LOW,0,1,1,0,3.768
LOW,LOW,0,4,3,1,0.8946666666666667
LOW,LOW,1,1,5,2,5.581999999999999
HIGH,HIGH,1,8,4,2,2.644
LOW,LOW,1,4,1,0,5.46
HIGH,HIGH,0,6,2,1,5.784
LOW,LOW,0,3,0,0,8.806
HIGH,HIGH,0,9,1,0,7.026
LOW,LOW,0,1,4,2,6.149999999999999
LOW,LOW,1,1,0,0,5.377999999999999
LOW,LOW,0,5,5,3,7.594
LOW,LOW,0,2,2,1,9.25
HIGH,HIGH,0,7,5,5,4.82
LOW,LOW,0,1,2,1,7.703999999999999
LOW,LOW,1,5,1,0,0.6799999999999999
HIGH,HIGH,1,6,4,0,1.268
LOW,LOW,1,0,0,0,1.346
HIGH,HIGH,1,7,1,0,0.644
LOW,LOW,1,4,1,0,0.6659999999999999
HIGH,HIGH,1,7,4,0,0.618
LOW,LOW,1,2,3,0,0.91
HIGH,HIGH,1,9,2,0,2.276
LOW,LOW,1,0,3,0,0.3
HIGH,HIGH,1,9,0,0,0.0
HIGH,HIGH,0,6,4,2,5.402
LOW,LOW,1,2,2,1,3.268
LOW,LOW,0,1,2,0,2.148
LOW,LOW,0,2,3,1,3.4946666666666677
HIGH,HIGH,1,8,4,2,5.196
LOW,LOW,1,4,2,1,3.322
HIGH,HIGH,1,7,3,2,3.939333333333333
LOW,LOW,1,1,2,1,1.6780000000000002
LOW,LOW,0,2,4,1,2.056
LOW,LOW,1,1,3,1,2.0046666666666666
HIGH,HIGH,1,8,2,1,0.202
LOW,LOW,0,3,2,1,3.452
LOW,LOW,1,1,1,0,3.964
LOW,LOW,1,2,2,0,4.893999999999999
LOW,LOW,1,2,0,0,1.744
HIGH,HIGH,1,8,3,1,0.9846666666666666
HIGH,HIGH,1,7,5,2,2.278
LOW,LOW,0,3,5,2,3.792
HIGH,HIGH,1,8,1,0,5.492
LOW,LOW,1,4,1,0,2.278
LOW,LOW,1,3,5,2,1.644
LOW,LOW,1,0,0,0,2.276
HIGH,HIGH,1,8,0,0,3.546
HIGH,HIGH,0,8,4,2,1.182
HIGH,HIGH,1,8,4,2,3.98
LOW,LOW,1,3,4,1,1.7680000000000002
LOW,LOW,1,0,2,0,3.994
HIGH,HIGH,1,8,0,0,2.538
LOW,LOW,1,4,0,0,2.2880000000000003
HIGH,HIGH,1,6,3,2,4.105333333333333
LOW,LOW,1,5,4,3,5.186
HIGH,HIGH,0,7,2,1,6.123999999999999
HIGH,HIGH,0,8,4,3,5.48
LOW,LOW,0,3,1,0,5.654
LOW,LOW,1,0,3,2,7.437333333333333
HIGH,HIGH,1,8,2,2,5.548
LOW,LOW,0,5,2,2,5.1000000000000005
HIGH,HIGH,1,7,3,2,3.4173333333333336
LOW,LOW,1,1,0,0,3.846
LOW,LOW,0,3,2,1,4.406
LOW,LOW,1,3,2,0,2.482
LOW,LOW,0,2,3,1,4.742666666666667
LOW,LOW,0,2,4,1,3.714
LOW,LOW,1,0,4,1,1.658
HIGH,HIGH,1,8,5,4,2.198
LOW,LOW,1,4,2,1,3.074
LOW,LOW,1,4,2,0,4.158
HIGH,HIGH,1,7,2,1,3.94
HIGH,HIGH,0,6,1,0,2.644
LOW,LOW,0,3,2,1,2.794
HIGH,HIGH,1,6,2,0,0.614
HIGH,HIGH,1,6,5,0,2.576
LOW,LOW,1,2,5,1,1.684
LOW,LOW,1,4,5,1,0.372
HIGH,HIGH,1,7,4,0,0.978
LOW,LOW,1,5,0,0,1.972
LOW,LOW,1,2,1,0,0.328
LOW,LOW,1,5,3,0,0.044
LOW,LOW,1,1,1,0,0.3
LOW,LOW,1,5,2,0,0.962
HIGH,HIGH,0,8,5,4,4.880000000000001
LOW,LOW,0,1,0,0,6.5520000000000005
HIGH,HIGH,0,6,5,3,6.65
HIGH,HIGH,0,7,3,2,7.327333333333334
LOW,LOW,1,5,0,0,7.645999999999999
LOW,LOW,0,3,2,1,6.093999999999999
LOW,LOW,0,2,0,0,4.640000000000001
LOW,LOW,1,4,3,2,6.6113333333333335
LOW,LOW,0,2,0,0,4.772
LOW,LOW,0,2,4,3,3.56
LOW,LOW,1,4,5,4,3.4000000000000004
LOW,LOW,0,3,0,0,3.292
HIGH,HIGH,1,6,0,0,2.85
LOW,LOW,1,1,2,1,6.084
HIGH,HIGH,1,6,4,2,3.92
LOW,LOW,1,2,1,0,3.52
LOW,LOW,0,0,4,1,2.398
HIGH,HIGH,0,7,1,0,2.99
HIGH,HIGH,1,7,3,1,3.214666666666667
HIGH,HIGH,0,7,0,0,4.284
LOW,LOW,0,1,2,1,3.968
HIGH,HIGH,1,9,5,4,6.564
HIGH,HIGH,0,9,4,2,6.69
LOW,LOW,1,2,0,0,5.744
LOW,LOW,0,2,4,3,7.0360000000000005
LOW,LOW,1,5,2,1,6.842
HIGH,HIGH,0,6,5,4,6.01
LOW,LOW,0,5,5,5,5.88
LOW,LOW,0,5,5,3,10.336
LOW,LOW,0,2,0,0,6.572
LOW,LOW,0,5,1,0,5.244
LOW,LOW,0,5,1,0,1.692
LOW,LOW,1,0,5,4,5.606
LOW,LOW,0,4,2,1,2.51
HIGH,HIGH,0,8,5,3,0.57
LOW,LOW,0,1,4,2,3.4480000000000004
HIGH,HIGH,1,8,2,1,2.7960000000000003
LOW,LOW,1,3,3,1,4.318666666666666
LOW,LOW,0,0,4,1,4.085999999999999
HIGH,HIGH,0,6,2,0,4.966
LOW,LOW,0,3,1,0,1.7999999999999998
HIGH,HIGH,1,9,1,0,3.182
HIGH,HIGH,1,6,1,0,2.21
HIGH,HIGH,1,8,5,1,2.984
LOW,LOW,1,0,3,1,3.258666666666667
LOW,LOW,1,5,3,1,3.272666666666667
LOW,LOW,0,0,4,1,2.406
LOW,LOW,0,2,2,1,2.2
HIGH,HIGH,0,9,5,3,2.896
LOW,LOW,1,5,4,1,2.042
HIGH,HIGH,1,6,5,2,3.706
HIGH,HIGH,1,8,1,0,2.16
LOW,LOW,0,4,5,2,5.644
HIGH,HIGH,0,9,1,0,4.91
LOW,LOW,1,1,0,0,3.18
HIGH,HIGH,0,7,5,2,3.4040000000000004
LOW,LOW,0,2,0,0,0.756
HIGH,HIGH,0,6,1,0,0.4499999999999999
HIGH,HIGH,1,7,0,0,1.938
HIGH,HIGH,1,7,1,0,4.917999999999999
LOW,LOW,0,2,3,0,3.346
LOW,LOW,1,3,3,2,4.907333333333334
LOW,LOW,1,3,5,1,3.004
LOW,LOW,0,1,1,0,3.836
LOW,LOW,0,1,0,0,4.036
LOW,LOW,0,1,3,1,3.6266666666666665
HIGH,HIGH,1,7,5,2,4.384
LOW,LOW,1,4,5,3,5.276
LOW,LOW,0,1,5,1,1.472
LOW,LOW,1,3,3,1,2.0586666666666664
LOW,LOW,1,3,2,1,2.964
LOW,LOW,0,2,1,0,2.382
LOW,LOW,0,1,5,3,2.87
HIGH,HIGH,1,8,2,1,3.146
LOW,LOW,1,2,1,0,5.755999999999999
LOW,LOW,1,5,2,0,2.514
LOW,LOW,1,0,2,0,2.162
LOW,LOW,0,4,5,3,2.85
LOW,LOW,1,3,4,1,3.408
LOW,LOW,1,3,1,0,3.134
LOW,LOW,1,1,0,0,1.348
LOW,LOW,1,2,1,0,0.0
HIGH,HIGH,1,7,4,0,1.526
HIGH,HIGH,1,7,2,0,1.944
LOW,LOW,1,1,4,0,0.0
LOW,LOW,1,2,4,0,0.922
LOW,LOW,1,4,3,0,0.65
LOW,LOW,1,5,4,0,1.672
LOW,LOW,1,2,2,0,0.322
HIGH,HIGH,1,7,0,0,1.398
HIGH,HIGH,1,8,5,3,2.692
HIGH,HIGH,1,9,0,0,3.008
LOW,LOW,1,4,0,0,0.6
HIGH,HIGH,1,8,2,1,3.708
LOW,LOW,1,2,5,2,0.6799999999999999
LOW,LOW,1,0,2,0,2.756
HIGH,HIGH,1,7,4,3,3.4
HIGH,HIGH,0,6,4,1,4.028
LOW,LOW,0,2,2,1,3.798
LOW,LOW,0,2,4,1,2.36
LOW,LOW,1,0,1,0,2.762
HIGH,HIGH,0,7,2,1,2.878
LOW,LOW,1,5,5,2,2.98
HIGH,HIGH,0,8,4,3,3.42
LOW,LOW,1,0,3,2,4.073333333333333
HIGH,HIGH,1,8,4,1,3.354
LOW,LOW,1,5,0,0,1.996
HIGH,HIGH,1,6,0,0,2.99
LOW,LOW,1,0,2,1,4.252
HIGH,HIGH,1,8,3,1,1.4186666666666667
LOW,LOW,1,4,1,0,0.0
LOW,LOW,1,3,5,0,0.6599999999999999
LOW,LOW,1,5,5,0,1.636
LOW,LOW,1,5,3,0,1.894
HIGH,HIGH,1,6,3,0,0.692
HIGH,HIGH,1,6,1,0,0.0
HIGH,HIGH,1,8,4,0,0.912
LOW,LOW,1,1,2,0,1.3159999999999998
LOW,LOW,1,4,3,0,0.928
LOW,LOW,1,3,5,0,0.92
HIGH,HIGH,0,8,3,1,6.378666666666667
LOW,LOW,0,5,1,1,6.273999999999999
LOW,LOW,1,3,3,2,6.541333333333334
LOW,LOW,0,5,0,0,8.65
HIGH,HIGH,0,8,5,3,6.672000000000001
LOW,LOW,0,5,4,3,3.25
HIGH,HIGH,0,9,1,0,7.486
LOW,LOW,0,1,1,1,5.308
LOW,LOW,0,1,4,2,6.336
LOW,LOW,1,0,3,2,7.189333333333334
HIGH,HIGH,1,7,0,0,0.3999999999999999
LOW,LOW,1,1,2,0,1.0379999999999998
LOW,LOW,1,3,0,0,0.3319999999999999
HIGH,HIGH,1,7,4,0,2.22
HIGH,HIGH,1,9,0,0,0.8999999999999999
HIGH,HIGH,1,9,2,0,0.3
LOW,LOW,1,2,4,0,0.992
HIGH,HIGH,1,6,1,0,1.092
LOW,LOW,1,1,5,0,0.634
HIGH,HIGH,1,8,5,0,0.06
HIGH,HIGH,0,9,2,0,4.037999999999999
LOW,LOW,0,3,5,1,5.956
LOW,LOW,0,2,1,0,2.966
HIGH,HIGH,1,6,5,1,1.648
HIGH,HIGH,0,8,0,0,0.772
HIGH,HIGH,1,6,5,3,2.458
LOW,LOW,0,3,5,2,2.256
HIGH,HIGH,0,6,0,0,1.952
HIGH,HIGH,1,9,0,0,4.236
LOW,LOW,0,1,2,0,2.04
LOW,LOW,1,1,0,0,1.246
LOW,LOW,1,2,0,0,0.71
LOW,LOW,1,2,3,0,1.312
HIGH,HIGH,1,6,4,0,0.688
HIGH,HIGH,1,6,4,1,1.658
LOW,LOW,1,4,1,0,0.3379999999999999
LOW,LOW,1,3,0,0,0.3339999999999999
LOW,LOW,1,0,4,0,1.332
HIGH,HIGH,1,6,4,0,0.3419999999999999
HIGH,HIGH,1,8,0,0,0.052
LOW,LOW,1,1,5,0,0.936
HIGH,HIGH,1,7,5,0,0.946
LOW,LOW,1,4,0,0,1.968
HIGH,HIGH,1,8,1,0,0.316
HIGH,HIGH,1,7,1,0,1.244
LOW,LOW,1,5,2,0,0.0
LOW,LOW,1,4,5,1,1.356
LOW,LOW,1,5,0,0,1.0219999999999998
HIGH,HIGH,1,6,3,0,0.0
LOW,LOW,1,1,3,0,1.216
LOW,LOW,1,0,2,0,1.958
HIGH,HIGH,1,6,0,0,0.954
HIGH,HIGH,1,7,2,0,1.952
HIGH,HIGH,1,7,2,0,0.618
HIGH,HIGH,1,6,5,0,0.91
HIGH,HIGH,1,8,3,0,0.994
LOW,LOW,1,1,4,1,0.15
HIGH,HIGH,1,6,4,0,1.268
LOW,LOW,1,3,3,0,0.644
LOW,LOW,1,2,3,0,0.96
HIGH,HIGH,0,6,1,0,1.744
HIGH,HIGH,1,8,2,0,4.502000000000001
LOW,LOW,0,4,4,3,0.9
HIGH,HIGH,0,6,4,2,5.066
LOW,LOW,0,4,0,0,0.8280000000000001
LOW,LOW,1,4,0,0,5.568
LOW,LOW,1,1,0,0,3.24
LOW,LOW,1,5,4,3,5.874
LOW,LOW,1,2,4,2,4.39
LOW,LOW,0,3,1,0,4.692
HIGH,HIGH,0,9,3,2,3.239333333333333
LOW,LOW,0,1,5,1,4.922000000000001
LOW,LOW,1,1,3,1,1.9886666666666664
LOW,LOW,1,5,5,2,3.566
HIGH,HIGH,1,9,3,2,1.6793333333333331
LOW,LOW,1,4,2,0,4.228
HIGH,HIGH,1,9,0,0,4.436
HIGH,HIGH,1,9,1,0,3.826
HIGH,HIGH,0,7,1,0,3.364
LOW,LOW,0,2,3,1,1.4786666666666666
HIGH,HIGH,1,9,3,2,3.171333333333333
LOW,LOW,1,0,1,0,0.6599999999999999
HIGH,HIGH,1,7,3,2,3.9733333333333327
HIGH,HIGH,1,6,3,1,2.322666666666667
HIGH,HIGH,0,8,1,0,2.4240000000000004
HIGH,HIGH,0,6,5,3,1.376
LOW,LOW,1,4,2,0,0.6
LOW,LOW,1,3,2,1,3.516
HIGH,HIGH,0,9,2,1,1.2639999999999998
LOW,LOW,0,2,3,1,3.774666666666667
HIGH,HIGH,0,9,3,2,4.783333333333334
LOW,LOW,0,0,3,3,6.2
HIGH,HIGH,0,6,5,4,7.106
HIGH,HIGH,0,7,0,0,6.852
LOW,LOW,0,5,4,3,5.046000000000001
LOW,LOW,1,3,5,3,5.542
HIGH,HIGH,0,8,0,0,4.164
HIGH,HIGH,0,8,0,0,4.938000000000001
LOW,LOW,1,2,5,4,3.052
LOW,LOW,1,5,2,1,3.3160000000000003
HIGH,HIGH,1,6,0,0,7.987999999999999
HIGH,HIGH,0,6,3,2,4.381333333333334
HIGH,HIGH,0,9,3,2,3.309333333333333
HIGH,HIGH,0,6,5,2,6.058
HIGH,HIGH,1,6,3,2,5.5713333333333335
LOW,LOW,1,4,3,2,4.327333333333333
LOW,LOW,0,0,2,1,5.859999999999999
LOW,LOW,1,0,1,0,4.484
HIGH,HIGH,0,6,2,1,6.494
LOW,LOW,0,5,5,4,4.764000000000001
LOW,LOW,1,3,5,3,0.124
LOW,LOW,1,1,4,2,5.921999999999999
HIGH,HIGH,0,8,4,3,2.834
LOW,LOW,1,3,5,1,2.96
LOW,LOW,0,5,1,0,0.49
HIGH,HIGH,1,7,1,0,4.048
HIGH,HIGH,0,7,3,2,5.507333333333333
LOW,LOW,1,2,1,0,4.248
HIGH,HIGH,1,6,4,2,4.272
HIGH,HIGH,0,9,4,1,4.031999999999999
HIGH,HIGH,0,7,4,2,3.25
LOW,LOW,0,4,4,2,3.768
LOW,LOW,1,0,1,0,5.14
LOW,LOW,0,3,1,0,3.39
HIGH,HIGH,1,9,2,1,5.384
LOW,LOW,1,1,5,3,5.537999999999999
HIGH,HIGH,0,8,1,0,2.09
LOW,LOW,1,1,3,2,3.649333333333333
LOW,LOW,0,3,4,3,2.678
LOW,LOW,0,0,0,0,3.062
HIGH,HIGH,1,8,0,0,2.3600000000000003
LOW,LOW,1,1,3,1,4.524666666666667
LOW,LOW,0,1,2,1,3.916
HIGH,HIGH,1,8,0,0,2.67
HIGH,HIGH,0,8,5,4,4.790000000000001
LOW,LOW,1,2,2,0,0.6
LOW,LOW,0,4,5,3,0.662
HIGH,HIGH,1,6,3,2,4.291333333333333
LOW,LOW,1,0,3,2,5.245333333333334
HIGH,HIGH,1,8,3,1,3.594666666666667
LOW,LOW,0,2,4,1,5.948
LOW,LOW,0,2,4,1,3.492
LOW,LOW,0,1,4,2,2.72
HIGH,HIGH,1,6,4,2,3.144
HIGH,HIGH,0,7,2,1,4.198
LOW,LOW,1,3,2,1,1.97
LOW,LOW,0,2,2,0,5.35
LOW,LOW,0,1,0,0,5.588
LOW,LOW,1,3,5,2,4.6240000000000006
HIGH,HIGH,0,7,4,2,6.964
LOW,LOW,1,2,2,0,0.32
LOW,LOW,1,2,2,0,1.936
HIGH,HIGH,1,7,2,0,0.948
LOW,LOW,1,1,4,0,0.02
LOW,LOW,1,3,4,0,0.0
HIGH,HIGH,1,9,2,0,1.558
HIGH,HIGH,1,8,5,1,1.026
LOW,LOW,1,3,2,0,0.974
HIGH,HIGH,1,9,3,0,1.89
LOW,LOW,1,5,5,0,0.062
LOW,LOW,0,3,1,0,0.554
HIGH,HIGH,0,9,1,0,0.752
HIGH,HIGH,1,6,4,2,4.656
LOW,LOW,0,1,1,0,3.372
LOW,LOW,0,0,1,0,1.438
LOW,LOW,0,2,5,2,3.838
LOW,LOW,1,5,3,1,2.634666666666667
HIGH,HIGH,0,7,1,0,1.5139999999999998
HIGH,HIGH,1,8,3,2,4.0553333333333335
LOW,LOW,1,4,4,2,3.844
HIGH,HIGH,0,9,3,2,4.105333333333333
HIGH,HIGH,0,9,1,0,5.457999999999999
LOW,LOW,1,3,1,0,6.636
LOW,LOW,1,5,2,2,6.5760000000000005
HIGH,HIGH,0,6,2,1,5.771999999999999
LOW,LOW,1,4,4,4,5.358
HIGH,HIGH,0,7,3,2,6.617333333333334
HIGH,HIGH,0,7,5,4,6.454000000000001
HIGH,HIGH,0,9,0,0,4.164
HIGH,HIGH,1,8,0,0,7.142
LOW,LOW,0,4,1,0,4.938000000000001
LOW,LOW,0,1,2,1,6.992
HIGH,HIGH,0,7,1,0,4.982
LOW,LOW,0,5,5,4,3.868
HIGH,HIGH,0,7,0,0,4.662000000000001
HIGH,HIGH,0,8,1,0,4.182
HIGH,HIGH,1,6,2,1,4.252
HIGH,HIGH,0,9,1,0,7.379999999999999
LOW,LOW,1,1,0,0,6.37
HIGH,HIGH,0,6,0,0,6.388
HIGH,HIGH,1,9,4,3,4.29
LOW,LOW,0,0,3,2,7.081333333333334
HIGH,HIGH,0,6,2,1,8.766
LOW,LOW,0,1,2,1,6.996
HIGH,HIGH,1,8,1,0,5.771999999999999
LOW,LOW,0,4,5,3,2.86
LOW,LOW,1,5,2,1,5.873999999999999
LOW,LOW,0,2,4,3,5.45
LOW,LOW,0,1,3,3,4.890000000000001
HIGH,HIGH,1,7,2,2,5.014
HIGH,HIGH,1,7,0,0,0.002
LOW,LOW,1,4,5,0,0.0
LOW,LOW,1,0,1,0,0.65
LOW,LOW,1,4,0,0,1.254
HIGH,HIGH,1,7,2,0,1.0219999999999998
LOW,LOW,1,1,4,1,1.036
LOW,LOW,1,2,0,0,0.326
HIGH,HIGH,1,7,5,0,0.626
LOW,LOW,1,5,1,0,0.02
LOW,LOW,1,0,3,0,1.28
LOW,LOW,0,5,4,1,2.458
LOW,LOW,1,1,1,0,1.66
HIGH,HIGH,1,7,1,0,2.264
LOW,LOW,0,1,2,1,2.196
LOW,LOW,1,0,3,1,2.1186666666666665
HIGH,HIGH,1,6,0,0,1.614
LOW,LOW,1,0,0,0,2.318
HIGH,HIGH,1,7,5,1,0.43
LOW,LOW,0,3,4,1,4.372
LOW,LOW,1,4,1,0,3.886
LOW,LOW,1,2,1,0,4.626
HIGH,HIGH,0,7,1,0,3.162
HIGH,HIGH,0,6,2,0,4.614000000000001
LOW,LOW,0,1,2,1,4.061999999999999
HIGH,HIGH,1,8,5,2,1.936
HIGH,HIGH,0,9,1,0,1.378
LOW,LOW,1,4,2,1,2.024
HIGH,HIGH,1,7,4,1,3.714
HIGH,HIGH,1,8,4,1,3.576
LOW,LOW,0,5,0,0,4.029999999999999
HIGH,HIGH,1,7,0,0,7.619999999999999
LOW,LOW,0,0,0,0,5.691999999999999
HIGH,HIGH,0,6,2,2,6.62
LOW,LOW,0,4,1,0,5.01
LOW,LOW,0,3,2,1,5.092
HIGH,HIGH,0,9,4,3,6.076
HIGH,HIGH,1,7,0,0,7.058
LOW,LOW,1,3,5,5,6.242
LOW,LOW,0,3,5,3,6.538
HIGH,HIGH,0,8,1,0,5.468
HIGH,HIGH,1,6,2,0,2.236
LOW,LOW,0,2,5,2,2.848
LOW,LOW,0,1,1,0,6.258000000000001
LOW,LOW,1,4,5,2,0.38
LOW,LOW,1,5,4,2,0.2
LOW,LOW,1,1,0,0,3.232
LOW,LOW,1,2,2,0,0.408
HIGH,HIGH,1,6,1,0,5.739999999999999
LOW,LOW,0,5,2,0,4.632000000000001
LOW,LOW,1,0,0,0,3.858
LOW,LOW,0,2,5,2,2.8160000000000003
LOW,LOW,1,5,5,2,4.256
HIGH,HIGH,0,9,0,0,2.356
HIGH,HIGH,1,6,5,2,3.89
HIGH,HIGH,0,7,4,2,2.184
HIGH,HIGH,1,9,4,2,2.97
LOW,LOW,1,2,3,1,3.284666666666667
LOW,LOW,1,5,1,0,2.908
LOW,LOW,1,0,2,1,5.585999999999999
LOW,LOW,0,1,3,2,3.4953333333333334
LOW,LOW,0,1,1,0,2.09
LOW,LOW,1,4,0,0,3.702
HIGH,HIGH,1,7,2,1,5.02
HIGH,HIGH,0,7,4,3,3.484
HIGH,HIGH,1,7,4,2,1.134
LOW,LOW,1,1,1,0,4.138
HIGH,HIGH,1,8,2,0,1.622
HIGH,HIGH,0,6,4,2,5.504
LOW,LOW,0,4,0,0,2.112
HIGH,HIGH,1,8,0,0,4.112
LOW,LOW,1,4,2,0,1.882
LOW,LOW,1,0,1,0,1.242
LOW,LOW,0,2,0,0,3.652
HIGH,HIGH,0,8,5,3,3.5420000000000003
HIGH,HIGH,1,9,0,0,3.216
LOW,LOW,0,4,5,3,3.836
LOW,LOW,1,5,5,1,3.602
LOW,LOW,0,4,3,1,2.428666666666667
LOW,LOW,1,4,0,0,1.92
LOW,LOW,1,0,4,1,3.246
LOW,LOW,1,0,0,0,5.198
HIGH,HIGH,1,9,4,0,3.804
HIGH,HIGH,0,6,5,3,2.834
LOW,LOW,1,5,0,0,3.994
HIGH,HIGH,0,6,5,4,3.844
LOW,LOW,0,3,4,2,1.926
LOW,LOW,0,1,3,1,3.360666666666667
LOW,LOW,0,2,2,1,4.124
LOW,LOW,1,5,2,1,1.4800000000000002
LOW,LOW,0,1,3,1,3.786666666666666
LOW,LOW,1,4,1,0,4.224
LOW,LOW,1,5,1,0,3.606
HIGH,HIGH,0,9,2,1,2.45
HIGH,HIGH,1,9,4,1,1.644
HIGH,HIGH,1,6,1,0,2.3080000000000003
LOW,LOW,0,2,2,0,1.416
LOW,LOW,1,4,4,1,0.4619999999999999
HIGH,HIGH,0,7,0,0,1.516
HIGH,HIGH,1,6,5,2,3.946
HIGH,HIGH,0,7,2,0,2.774
HIGH,HIGH,1,7,4,1,2.332
LOW,LOW,0,4,4,3,4.143999999999999
HIGH,HIGH,0,8,2,1,2.8400000000000003
HIGH,HIGH,1,6,1,0,4.182
HIGH,HIGH,0,9,2,1,2.506
HIGH,HIGH,1,6,3,2,3.719333333333333
LOW,LOW,1,1,4,2,3.692
LOW,LOW,0,2,3,2,2.583333333333333
LOW,LOW,0,1,3,1,1.5166666666666666
HIGH,HIGH,0,9,2,1,2.224
HIGH,HIGH,1,6,5,0,1.002
LOW,LOW,1,2,4,0,1.594
LOW,LOW,1,2,4,0,1.308
LOW,LOW,1,1,4,0,0.728
HIGH,HIGH,1,7,4,0,0.3
HIGH,HIGH,1,7,1,0,1.0179999999999998
LOW,LOW,1,4,3,0,0.0
LOW,LOW,1,3,0,0,1.382
LOW,LOW,1,1,1,0,3.162
LOW,LOW,1,3,1,0,0.002
LOW,LOW,0,3,1,0,0.514
LOW,LOW,0,0,0,0,1.428
LOW,LOW,0,0,2,0,4.3
HIGH,HIGH,1,9,2,1,1.988
HIGH,HIGH,0,8,5,3,6.028
HIGH,HIGH,1,9,0,0,2.224
LOW,LOW,0,3,5,2,5.066
LOW,LOW,0,4,0,0,3.132
LOW,LOW,0,0,2,1,2.778
LOW,LOW,0,3,3,1,4.314666666666667
LOW,LOW,1,1,4,3,4.644
HIGH,HIGH,0,7,4,3,6.5
LOW,LOW,0,4,4,1,6.28
LOW,LOW,0,2,3,2,7.137333333333333
LOW,LOW,0,2,1,0,5.612
LOW,LOW,0,1,2,1,6.3740000000000006
LOW,LOW,1,1,0,0,5.754
HIGH,HIGH,1,8,0,0,5.794
HIGH,HIGH,1,7,0,0,7.037999999999999
HIGH,HIGH,0,9,2,2,7.712
LOW,LOW,0,2,3,1,3.792666666666667
HIGH,HIGH,1,6,3,2,4.923333333333334
LOW,LOW,1,2,3,1,5.164666666666666
LOW,LOW,1,1,0,0,2.572
HIGH,HIGH,1,8,1,0,2.858
HIGH,HIGH,1,7,4,1,4.888
LOW,LOW,1,4,2,0,2.994
LOW,LOW,1,0,4,0,4.124
LOW,LOW,0,1,3,2,3.191333333333333
LOW,LOW,0,0,2,0,1.102
HIGH,HIGH,1,7,1,0,2.3800000000000003
HIGH,HIGH,1,8,5,2,1.962
LOW,LOW,1,1,0,0,3.206
LOW,LOW,0,2,4,2,5.794
LOW,LOW,1,5,5,1,2.902
HIGH,HIGH,1,6,3,1,1.8086666666666664
HIGH,HIGH,1,8,2,1,3.332
HIGH,HIGH,0,7,0,0,4.024
HIGH,HIGH,1,8,5,3,2.038
LOW,LOW,0,2,1,0,3.988
LOW,LOW,0,1,4,3,6.754
HIGH,HIGH,0,9,4,3,4.588000000000001
LOW,LOW,0,4,4,3,5.942
HIGH,HIGH,0,6,1,0,6.556
HIGH,HIGH,0,6,1,1,5.84
LOW,LOW,0,0,3,2,7.201333333333333
LOW,LOW,0,1,3,2,5.655333333333334
HIGH,HIGH,0,7,1,0,7.361999999999999
HIGH,HIGH,0,6,5,4,4.93
HIGH,HIGH,0,7,0,0,4.402
LOW,LOW,0,2,3,2,4.843333333333334
LOW,LOW,0,3,2,1,5.493999999999999
HIGH,HIGH,0,8,0,0,4.708
LOW,LOW,1,5,3,2,7.185333333333333
HIGH,HIGH,1,6,0,0,6.128
LOW,LOW,0,1,1,0,6.728
LOW,LOW,1,4,0,0,6.138
HIGH,HIGH,1,6,1,0,6.082
HIGH,HIGH,0,6,3,3,4.862
LOW,LOW,1,0,5,3,3.918
HIGH,HIGH,1,8,4,0,0.0
HIGH,HIGH,1,6,5,0,0.99
HIGH,HIGH,1,6,5,1,0.04
LOW,LOW,1,0,4,0,0.0
HIGH,HIGH,1,9,4,0,0.6
LOW,LOW,1,0,5,1,1.548
HIGH,HIGH,1,7,0,0,0.976
LOW,LOW,1,5,0,0,0.636
LOW,LOW,1,3,3,0,1.582
LOW,LOW,1,2,3,0,0.6659999999999999
HIGH,HIGH,1,9,3,0,0.0
LOW,LOW,1,5,2,0,0.108
LOW,LOW,1,0,1,0,0.6719999999999999
HIGH,HIGH,1,7,1,0,0.044
HIGH,HIGH,1,8,5,0,0.002
HIGH,HIGH,1,8,2,0,0.0
HIGH,HIGH,1,9,4,0,0.644
LOW,LOW,1,1,3,0,2.24
LOW,LOW,1,5,2,0,1.626
HIGH,HIGH,1,8,3,0,0.614
HIGH,HIGH,0,9,2,1,0.93
LOW,LOW,1,1,5,2,3.928
HIGH,HIGH,1,8,4,2,3.3280000000000003
LOW,LOW,0,1,1,0,3.4560000000000004
LOW,LOW,1,0,0,0,1.954
LOW,LOW,1,2,3,1,4.878666666666667
LOW,LOW,0,0,0,0,3.738
LOW,LOW,1,2,0,0,4.092
LOW,LOW,0,3,0,0,3.426
HIGH,HIGH,1,7,3,2,3.025333333333333
LOW,LOW,0,1,5,2,2.526
HIGH,HIGH,0,8,4,2,2.78
HIGH,HIGH,1,8,2,0,2.22
LOW,LOW,1,0,1,0,4.41
LOW,LOW,0,0,1,0,2.112
LOW,LOW,1,5,2,1,3.608
HIGH,HIGH,1,6,0,0,0.938
LOW,LOW,0,0,1,0,2.4160000000000004
HIGH,HIGH,1,7,4,2,5.552
HIGH,HIGH,0,6,5,3,3.758
LOW,LOW,1,1,2,1,2.958
HIGH,HIGH,0,9,1,0,4.314
LOW,LOW,0,0,0,0,2.758
LOW,LOW,0,3,1,0,3.702
LOW,LOW,0,5,2,2,2.328
HIGH,HIGH,0,7,2,0,2.742
HIGH,HIGH,1,7,3,1,2.288666666666667
LOW,LOW,0,3,5,3,3.19
